playerId,displayName,overrideValue,looksAbbreviated,knownNames
fb24e76c,Monu Kumar,,no,Monu Kumar
7d92277a,Mujeeb Ur Rahman,,no,Mujeeb Ur Rahman
765a4731,Mukesh Choudhary,,no,Mukesh Choudhary
2cffab74,Mukesh Kumar,,no,Mukesh Kumar
d621b427,Musheer Khan,,no,Musheer Khan
0a8fce53,Mustafizur Rahman,Mustafizur Rahman,no,Mustafizur Rahman
fffa744b,Naman Dhir,Naman Dhir,no,Naman Dhir
56ab442f,Nathan Coulter-Nile,,no,Nathan Coulter-Nile
21d4e29b,Navdeep Saini,,no,NA Saini | Navdeep Saini
c0c411cb,Naveen-ul-Haq,,no,Naveen-ul-Haq
d1a60072,Nehal Wadhera,,no,Nehal Wadhera
3241e3fd,Nicholas Pooran,,no,Nicholas Pooran
aad0c365,Nithish Kumar Reddy,,no,Nithish Kumar Reddy
fb2d1dda,Nitish Rana,,no,Nitish Rana
efc04be7,Noor Ahmad,Noor Ahmad,no,Noor Ahmad
e32d22f6,Pankaj Singh,,no,Pankaj Singh
9170ff49,Parvez Rasool,,no,Parvez Rasool
ded9240e,Pat Cummins,,no,Pat Cummins
3d284ca3,Phil Salt,,no,Phil Salt
98ae73b1,Piyush Chawla,,no,Piyush Chawla
9418198b,Prabhsimran Singh,,no,Prabhsimran Singh
85e0cf10,Prasidh Krishna,,no,Prasidh Krishna
80b2fb19,Prince Yadav,,no,Prince Yadav
8b3e9c7c,Prithvi Shaw,,no,Prithvi Shaw
b5797845,Priyansh Arya,Priyansh Arya,no,Priyansh Arya
0bacade8,Rahmanullah Gurbaz,,no,Rahmanullah Gurbaz
2ed569a0,Rahul Chahar,,no,Rahul Chahar
c740ea83,Rajat Patidar,,no,Rajat Patidar
be24ead0,Ramandeep Singh,,no,Ramandeep Singh
5f547c8b,Rashid Khan,Rashid Khan,no,Rashid Khan
b8527c3d,Rasikh Salam,,no,Rasikh Salam
df064e1a,Ravi Bishnoi,Ravi Bishnoi,no,Ravi Bishnoi
cad00a4d,Rilee Rossouw,,no,Rilee Rossouw
0a509d6b,Rinku Singh,,no,Rinku Singh
04a418e8,Riyan Parag,,no,Riyan Parag
740742ef,Rohit Sharma,,no,Rohit Sharma
45a43fe2,Ruturaj Gaikwad,,no,Ruturaj Gaikwad
e66732f8,Ryan Rickelton,,no,Ryan Rickelton
dc9dd038,Sachin Baby,,no,Sachin Baby
4d6d6280,Salman Butt,,no,Salman Butt
f89d3b11,Sameer Rizvi,,no,Sameer Rizvi
ce820073,Sandeep Sharma,Sandeep Sharma,no,Sandeep Sharma
a4cc73aa,Sanju Samson,,no,Sanju Samson
b0f2baf4,Sanvir Singh,,no,Sanvir Singh
9e7225b0,Saurav Chauhan,,no,Saurav Chauhan
3c28853f,Sediqullah Atal,,no,Sediqullah Atal
f9e6e7ef,Shahbaz Ahmed,,no,Shahbaz Ahmed
0dc00542,Shahid Afridi,,no,Shahid Afridi
7dcb9bc9,Shahrukh Khan,,no,Shahrukh Khan
7dc35884,Shakib Al Hasan,,no,Shakib Al Hasan
26989d80,Shashank Singh,Shashank Singh,no,Shashank Singh
d014d5ac,Sherfane Rutherford,,no,Sherfane Rutherford
c38d3503,Shivam Mavi,Shivam Mavi,no,Shivam Mavi
6f49cc6e,Shivam Sharma,,no,Shivam Sharma
e1d9ae9c,Shivam Singh,,no,Shivam Singh
8a668774,Shoaib Ahmed,,no,Shoaib Ahmed
10a91f35,Shoaib Akhtar,,no,Shoaib Akhtar
64c34cd0,Shoaib Malik,,no,Shoaib Malik
7a8bd078,Shreyas Gopal,,no,Shreyas Gopal
85ec8e33,Shreyas Iyer,,no,Shreyas Iyer
b4b99816,Shubman Gill,Shubman Gill,no,Shubman Gill
dcf81436,Siddarth Kaul,,no,Siddarth Kaul
26d041c4,Sikandar Raza,,no,Sikandar Raza
